,,,T_DMSO_1,T_DMSO_2,T_DMSO_3,T_DMSO_4,T_DMSO_5,T_DMSO_6,T_BML_1,T_BML_2,T_BML_3,T_BML_4,T_BML_5,T603_BML_6
Compound Info,,,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,BML,BML,BML,BML,BML,BML
Acetylenedicarboxylate__Cn,Acetylenedicarboxylate_,Acetylenedicarboxylate___m113.993_r1.07Cn,0.227056903,0.394680265,0.324790633,0.336717137,0.333054685,0.341505162,0.323788285,0.90346451,0.406163411,0.330765207,0.453837112,0.416043921
Keto valeric acid__Cn,Keto valeric acid_,Keto valeric acid___m116.047_r1.55Cn,0.090009233,0.11968577,0.063185308,0.094587954,0.076797295,0.124359456,0.086422621,0.124787092,0.100117003,0.067740393,0.093285031,0.106109946
Hexanoic acid__Cp,Hexanoic acid_,Hexanoic acid__m116.084_r1.72Cp,0.002039557,0.001253533,0.003197502,0.001891222,0.00180006,0.001891815,0.002221953,0.006551092,0.003338018,0.001272943,0.001905432,0.0024385
Hydroxypentanoate__Cn,Hydroxypentanoate_,Hydroxypentanoate___m118.063_r1.54Cn,0.013222067,0.015697439,0.013792012,0.017775337,0.027419573,0.017647051,0.019390548,0.030854568,0.028357726,0.012367467,0.022958444,0.022807377
Methyl-2-oxopentanoic acid__Cn,Methyl-2-oxopentanoic acid,Methyl-2-oxopentanoic acid_m130.063_r1.72Cn,0.019335616,0.017545019,0.024445102,0.02098103,0.028921763,0.023581691,0.025376048,0.045993367,0.030355374,0.016078853,0.028364365,0.031897101
Creatine__Cp,Creatine_,Creatine__m131.069_r1.23Cp,0.001180368,0.001693276,0.003513536,0.006108088,0.000890946,0.001325644,0.001024352,0.004043455,0.000850688,0.001183499,0.000901931,0.000590138
Isoleucine__Cp,Isoleucine_,Isoleucine__m131.094_r1.42Cp,0.028281219,0.028791882,0.030923977,0.04154501,0.034184005,0.029988213,0.030680696,0.067334061,0.034026078,0.028490907,0.043907513,0.041429784
Leucine__Cp,Leucine,Leucine_m131.094_r1.15Cp,0.016262757,0.011182071,0.022763998,0.018987732,0.021257058,0.015851206,0.016632388,0.020788812,0.027703271,0.013763399,0.019800555,0.024050329
Hydroxyhexanoic acid__Cp,Hydroxyhexanoic acid_,Hydroxyhexanoic acid__m132.078_r1.5Cp,0.002729907,0.000719308,0.007862295,0.004949998,0.001201471,0.001334684,0.001409889,0.011392213,0.00238842,0.000874603,0.001456631,0.002004536
